event_time,organization,observation_type,observation_category,signal_text,incident_in_next_14d
2025-05-15 16:01:00,"ТОО ""Весенний Букет""",unsafe_condition,"Электрооборудование, Рабочее место / Эргономика","Тип наблюдения: Небезопасное условие | Категория: Электрооборудование, Рабочее место / Эргономика | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: жарық шамдарын орнату қажет/ жарықтандыру керек | Меры: Шеберге хабарланды | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Шеберге хабарланды | Опасность устранена: True",1
2025-07-20 06:02:00,"ТОО ""Весенний Букет""",unsafe_action,Машины и оборудование,"Тип наблюдения: Небезопасное действие | Категория: Машины и оборудование | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: МГ 1201 обходта скважина тексеру кезинде аныкталды Автоколиктин арткы стоп фары жанбайды | Меры: Ескерту жасалды | Остановка работ: False | Поощрение хорошей практики: Жаксы тажирбие.Автоколктин арткы стоп фары жанбай калган. Фарды жагып журу туралы тусиндирме жумыстары жургизилди. | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Аймак басшысына | Опасность устранена: True",1
2025-07-20 15:07:00,"ТОО ""Весенний Букет""",other,"Выполнение требований инструкций, Целостность объекта / Оборудования","Тип наблюдения: Опасный случай | Категория: Выполнение требований инструкций, Целостность объекта / Оборудования | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Торап ауыстырғаннан кейін тіреулер жеткілікті мөлшерде қойылмаған | Меры: Шеберге қосымша тіреулер қою жөнінде нұсқау берілді | Остановка работ: False | Поощрение хорошей практики: Ескерту берілді | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Цех бастығы | Опасность устранена: True",1
2025-07-21 17:49:00,"ТОО ""Весенний Букет""",unsafe_action,Знаки безопасности / Предупредительные таблички,"Тип наблюдения: Небезопасное действие | Категория: Знаки безопасности / Предупредительные таблички | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Отсутствие таблички км | Меры: Сообщили нач участка АВП | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Текебаеву.Б | Опасность устранена: False",1
2025-07-25 21:28:00,"ТОО ""Весенний Букет""",unsafe_condition,"Целостность объекта / Оборудования, Падающие предметы","Тип наблюдения: Небезопасное условие | Категория: Целостность объекта / Оборудования, Падающие предметы | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Сегодня при сильном ветре упал знак пешехода | Меры: Сообщил инженеру по ТБиОТ | Остановка работ: True | Поощрение хорошей практики: Доложил начальнику участка. Бисенгалиеву Б.Е. | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка. Бисенгалиеву Б.Е. | Опасность устранена: True",1
2025-07-28 13:34:00,"ТОО ""Весенний Букет""",unsafe_behavior,Поддержание чистоты и порядка,"Тип наблюдения: Небезопасное поведение | Категория: Поддержание чистоты и порядка | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Напротив офиса незнакомый человек выбросил окурок сигареты на землю, попросил выбросить на урну. Понимания есть. | Меры: Попросил выбросит на урну окурок сигареты. | Остановка работ: False | Поощрение хорошей практики: - | Обсудили с наблюдаемым: True | Сообщили ответственному: False | Кому сообщили: - | Опасность устранена: True",1
2025-07-28 14:59:00,"ТОО ""Весенний Букет""",other,Рабочее место / Эргономика,"Тип наблюдения: Предложение (инициатива) | Категория: Рабочее место / Эргономика | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Постка ремонт кажет | Меры: Начальнике айтылды | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Начальнике айтылды | Опасность устранена: False",1
2025-07-28 22:02:00,"ТОО ""Весенний Букет""",unsafe_behavior,Электрооборудование,"Тип наблюдения: Небезопасное поведение | Категория: Электрооборудование | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: На задвижке номер 29 не горит наружное освещение | Меры: Доложил руководству ГНПС Атасу Абай А | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Начальник участка Гнпс Атасу Абдиков Жантас | Опасность устранена: True",1
2025-07-29 16:35:00,"ТОО ""Весенний Букет""",good_practice,Санитарно-бытовые помещения,"Тип наблюдения: Хорошая практика | Категория: Санитарно-бытовые помещения | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Қауіпсіздік сақтау | Меры: жұмы тоқтатылды. | Остановка работ: True | Поощрение хорошей практики: Тазалық жұмыстары жүргізілді | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Жауаптыға айтылды. | Опасность устранена: True",1
2025-07-30 19:59:00,"ТОО ""Весенний Букет""",unsafe_behavior,Поддержание чистоты и порядка,"Тип наблюдения: Небезопасное поведение | Категория: Поддержание чистоты и порядка | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Нет данных | Меры: Көріп ескерттім. | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",1
2025-07-31 15:00:00,"ТОО ""Весенний Букет""",unsafe_condition,Падающие предметы,"Тип наблюдения: Небезопасное условие | Категория: Падающие предметы | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Местами отсутствуют стойки от против отката труб, на трубных стеллажах. | Меры: Остановил работы, провел беседу с бригадой. | Остановка работ: True | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Инженеру БиОТ | Опасность устранена: True",1
2025-08-06 15:45:00,"ТОО ""Весенний Букет""",good_practice,Монтажные и грузоподъемные работы,"Тип наблюдения: Хорошая практика | Категория: Монтажные и грузоподъемные работы | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Работники ТОО ""ЦКС"" выполняли работы по замене задвижки с соблюдением всех правил и требований по Б и ОТ. | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Проведена беседа с работниками ТОО ""ЦКС"" о хорошей работе | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Мастеру ТОО ""ЦКС"" | Опасность устранена: True",1
2025-08-10 14:27:00,"ТОО ""Весенний Букет""",good_practice,Вывешивание плакатов,"Тип наблюдения: Хорошая практика | Категория: Вывешивание плакатов | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Обход по бригадам ПКРС | Меры: Объявил благодарность | Остановка работ: False | Поощрение хорошей практики: Похвалил членов бригады за поддержание в чистоте знаков и плакатов безопасности. | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Членов бригады | Опасность устранена: True",1
2025-08-10 19:00:00,"ТОО ""Весенний Букет""",good_practice,Выполнение требований инструкций,"Тип наблюдения: Хорошая практика | Категория: Выполнение требований инструкций | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Покос травы стала высокая | Меры: Произвел покос травы на закрепленной территории | Остановка работ: False | Поощрение хорошей практики: нет | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: нач. участка | Опасность устранена: True",1
2025-08-11 13:30:00,"ТОО ""Весенний Букет""",unsafe_condition,"Работы в замкнутом пространстве, Выполнение требований инструкций","Тип наблюдения: Небезопасное условие | Категория: Работы в замкнутом пространстве, Выполнение требований инструкций | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Лестница с просроченной датой проверки. | Меры: Сообщил допускающему и производителю работ по наряду допуску.Предоставили проверенную лестницу для выполнения работ. | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Допускающему и производителю работ по наряду допуску. | Опасность устранена: True",1
2025-08-14 15:40:00,"ТОО ""Весенний Букет""",danger_factor,Электрооборудование,"Тип наблюдения: Опасный фактор | Категория: Электрооборудование | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Кеңсе кіреберсінде "" жарық қосқыш - включить/выключить "" адамға қауіпі бар | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: зам. нач. цеха | Опасность устранена: False",1
2025-08-16 20:48:00,"ТОО ""Весенний Букет""",unsafe_action,"Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности","Тип наблюдения: Небезопасное действие | Категория: Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Во время патрулирования нефтепровод Озен-Атырау-Самара на 537 км было выявлено что компания ТОО Алма ТВ проводили работу, в результате чего было замечено что работник компании работая на высоте более 2х метров не применял защиту от падения страховочный пояс. | Меры: Остановил работу и провел беседу с работником о необходимости применять защиту от подения | Остановка работ: True | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: главному инженеру компании ТОО Алма ТВ и начальнику смены | Опасность устранена: True",1
2025-08-18 13:52:00,"ТОО ""Весенний Букет""",unsafe_behavior,Прочее,"Тип наблюдения: Небезопасное поведение | Категория: Прочее | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Замечание нет | Меры: Доложил руководству | Остановка работ: False | Поощрение хорошей практики: Доложил руководству | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Руководству | Опасность устранена: False",1
2025-08-19 15:45:00,"ТОО ""Весенний Букет""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,"Тип наблюдения: Небезопасное поведение | Категория: СИЗ / Средства по обеспечению безопасности | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Предупредил одеть каску | Меры: Работник одел каску и безопасно работал | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: True",1
2025-08-20 16:00:00,"ТОО ""Весенний Букет""",unsafe_condition,Испытание под давлением,"Тип наблюдения: Небезопасное условие | Категория: Испытание под давлением | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Газбен кесу шлангілері тозған тресшина түскен | Меры: Нұсқама жүргізілді | Остановка работ: True | Поощрение хорошей практики: Жұмыстары тоқтатылып жаңа шлангіге ауыстырылды | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Цех бастығына | Опасность устранена: True",1
2025-08-22 14:37:00,"ТОО ""Весенний Букет""",good_practice,Выполнение требований инструкций,"Тип наблюдения: Хорошая практика | Категория: Выполнение требований инструкций | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Замена автошины | Меры: Предотвращение травматизма | Остановка работ: True | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Сообщили механику автоколонны | Опасность устранена: True",1
2025-08-23 18:51:00,"ТОО ""Весенний Букет""",unsafe_condition,Падающие предметы,"Тип наблюдения: Небезопасное условие | Категория: Падающие предметы | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: На вертикальном трубопроводе поверх металлической жести теплоизоляции привязан болт 36 мм, имеется риск падения | Меры: СЗ на оплату | Остановка работ: False | Поощрение хорошей практики: СЗ на оплату | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1
2025-08-26 15:16:00,"ТОО ""Весенний Букет""",unsafe_behavior,"Поддержание чистоты и порядка, Машины и оборудование","Тип наблюдения: Небезопасное поведение | Категория: Поддержание чистоты и порядка, Машины и оборудование | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: ХБК және котельной айналасы қураған шөптер тазаланбаған. | Меры: Қөптер жұлынып, тазалық жұмыстары жүргізілді | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Механик ОГМ | Опасность устранена: True",1
2025-08-29 15:20:00,"ТОО ""Весенний Букет""",danger_factor,Работы на высоте / Строительные леса,"Тип наблюдения: Опасный фактор | Категория: Работы на высоте / Строительные леса | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Нет данных | Меры: Дано указание начальнику участка о неиспользовании лестницу-стремянки для высотных работ и о списании | Остановка работ: True | Поощрение хорошей практики: предупредил | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: начальнику участка | Опасность устранена: True",1
2025-08-31 20:22:00,"ТОО ""Весенний Букет""",danger_factor,Опасные вещества/сероводород,"Тип наблюдения: Опасный фактор | Категория: Опасные вещества/сероводород | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Химреагенты проба в баклажке от минеральной воды, прозрачная бесцветная жидкость. Риск отравления. Необходимо запретить использование тары от минеральной воды. Использовать специальную посуду. | Меры: Произведен инструктаж | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: True",1
2025-09-02 01:40:00,"ТОО ""Весенний Букет""",unsafe_condition,Электрооборудование,"Тип наблюдения: Небезопасное условие | Категория: Электрооборудование | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Перегарел лампочка периметрі поста 1 | Меры: Сообщили Начальнику Вахты Сейтбеков М | Остановка работ: False | Поощрение хорошей практики: Сообщили Начальнику Вахты Сейтбеков М | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Сообщили Начальнику Вахты Сейтбеков М | Опасность устранена: True",1
2025-09-02 23:00:00,"ТОО ""Весенний Букет""",unsafe_action,Охрана окружающей среды,"Тип наблюдения: Небезопасное действие | Категория: Охрана окружающей среды | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: №155 ұңғымада май қалдықтары жатқаны байқалды. | Меры: Ескерту жасалды. | Остановка работ: True | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Нет данных | Опасность устранена: True",1
2025-09-06 14:40:00,"ТОО ""Весенний Букет""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,"Тип наблюдения: Небезопасное поведение | Категория: СИЗ / Средства по обеспечению безопасности | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Работники подрядной организации ТОО ""Нур-Альтаир"" собирались начать работы по очистке от нефтешлама дренажную емкость ППН без соответствующих СИЗ для работ в замкнутом пространстве (емкости). | Меры: остановил работы по подготовке, позвал оператора для контроля гвс внутри дренажной емкости и обязал периодический проверить до окончания работ, дал поручение мастеру подрядной организации обеспечить работников соответствующим СИЗ до начало работ. Провел разъянительные работы с работниками по вопросам техники безопасности и охраны труда. | Остановка работ: True | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Начальнику смены ЦППН, Начальнику цеха ЦППН | Опасность устранена: True",1
2025-10-01 19:47:00,"ТОО ""Весенний Букет""",good_practice,"Наряд-допуск / Оценка риска, Целостность объекта / Оборудования","Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска, Целостность объекта / Оборудования | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Провел наблюдения. Предложении нету | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",1
2025-10-02 20:33:00,"ТОО ""Весенний Букет""",good_practice,"Поддержание чистоты и порядка, Вождение","Тип наблюдения: Хорошая практика | Категория: Поддержание чистоты и порядка, Вождение | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Көлік айдау кезінде жүргізуші қауіпсіздік белдігін тақпады | Меры: Қауіпсіздік белдігін тағуға ескерттім | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: True",1
2025-10-05 19:30:00,"ТОО ""Весенний Букет""",unsafe_condition,Проскальзывание / Спотыкание / Падение,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Жұмыс алаң үстінде артық заттар ( кілт қашақтар) жатыр. Сүрініп құлау қауіпі бар. | Меры: Шеберге ескертілді, жинастырылды. | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Басшы орынбасарына хабарладым. | Опасность устранена: True",1
2025-10-06 19:37:00,"ТОО ""Весенний Букет""",other,"Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности","Тип наблюдения: Опасный случай | Категория: Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Начальник участка; отсутствует форма СИЗ. Согласно требованиям безопасности ТБ | Меры: Сделал замечания, потребовал соблюдение ТБ. Ответ получил; я здесь главный | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Начальнику за безопасности | Опасность устранена: False",1
2025-10-07 16:15:00,"ТОО ""Весенний Букет""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Провел наблюдение, предложение нет. | Меры: Нет | Остановка работ: False | Поощрение хорошей практики: Предложение нет. | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Опасного случай не было. | Опасность устранена: False",1
2025-10-08 11:38:00,"ТОО ""Весенний Букет""",good_practice,"Трубопроводы / Подземные коммуникации, Вождение","Тип наблюдения: Хорошая практика | Категория: Трубопроводы / Подземные коммуникации, Вождение | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Провел наблюдение, предложение нет. | Меры: Нет. | Остановка работ: False | Поощрение хорошей практики: Предложение нет. | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Опасного случай не было. | Опасность устранена: False",1
2025-10-08 17:35:00,"ТОО ""Весенний Букет""",unsafe_behavior,Испытание под давлением,"Тип наблюдения: Небезопасное поведение | Категория: Испытание под давлением | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: №4 цех | Меры: Манометр ауыстырылды. | Остановка работ: True | Поощрение хорошей практики: Сапасы талқыланды. | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Цех бастығына | Опасность устранена: True",1
