organization,observation_type,observation_category,signal_text,incident_in_next_14d,event_time
"ТОО ""Рассветная Лаванда""",unsafe_condition,Вождение,"Тип наблюдения: Небезопасное условие | Категория: Вождение | Организация: ТОО ""Рассветная Лаванда"" | Последствия или преимущества: Нет данных | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",0,2025-04-16 15:30:00
"ТОО ""Сафлоровый Рассвет""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Сафлоровый Рассвет"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-05-27 15:09:00
"ТОО ""Полевая Незабудка""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Полевая Незабудка"" | Последствия или преимущества: Провел наблюдение, предложение нет. | Меры: Нет | Остановка работ: False | Поощрение хорошей практики: Предложение нет. | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Опасного случай не было. | Опасность устранена: False",0,2025-06-08 13:18:00
"ТОО ""Сафлоровый Рассвет""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Сафлоровый Рассвет"" | Последствия или преимущества: Нет | Меры: Нет | Остановка работ: False | Поощрение хорошей практики: Нет | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет | Опасность устранена: False",0,2025-06-08 17:00:00
"ТОО ""Огненная Георгина""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Огненная Георгина"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-06-10 15:14:00
"ТОО ""Синяя Орхидея""",good_practice,Вождение,"Тип наблюдения: Хорошая практика | Категория: Вождение | Организация: ТОО ""Синяя Орхидея"" | Последствия или преимущества: Нет данных | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",0,2025-07-01 19:20:00
"ТОО ""Весенний Крокус""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Весенний Крокус"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-07-09 14:40:00
"ТОО ""Алый Тюльпан""",good_practice,Прочее,"Тип наблюдения: Хорошая практика | Категория: Прочее | Организация: ТОО ""Алый Тюльпан"" | Последствия или преимущества: Замечаний нет | Меры: Доложил руководству | Остановка работ: False | Поощрение хорошей практики: Доложил руководству | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Руководству | Опасность устранена: False",0,2025-07-28 00:38:00
"ТОО ""Цветочный Бриз""",other,Прочее,"Тип наблюдения: Предложение (инициатива) | Категория: Прочее | Организация: ТОО ""Цветочный Бриз"" | Последствия или преимущества: Замечаний нет | Меры: Доложил руководству | Остановка работ: False | Поощрение хорошей практики: Доложил руководству | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Руководству | Опасность устранена: False",0,2025-07-28 12:39:00
"ТОО ""Небесная Камелия""",good_practice,Прочее,"Тип наблюдения: Хорошая практика | Категория: Прочее | Организация: ТОО ""Небесная Камелия"" | Последствия или преимущества: Замечаний нет | Меры: Доложил руководству | Остановка работ: False | Поощрение хорошей практики: Доложил руководству | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Руководству | Опасность устранена: False",0,2025-07-28 12:45:00
"ТОО ""Янтарная Хризантема""",good_practice,Прочее,"Тип наблюдения: Хорошая практика | Категория: Прочее | Организация: ТОО ""Янтарная Хризантема"" | Последствия или преимущества: Замечание нет | Меры: Доложил руководству | Остановка работ: False | Поощрение хорошей практики: Доложил руководству | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Руководству | Опасность устранена: False",0,2025-07-29 16:04:00
"ТОО ""Янтарная Хризантема""",good_practice,Прочее,"Тип наблюдения: Хорошая практика | Категория: Прочее | Организация: ТОО ""Янтарная Хризантема"" | Последствия или преимущества: Замечание нет | Меры: Доложил руководству | Остановка работ: False | Поощрение хорошей практики: Доложил руководству | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Руководству | Опасность устранена: False",0,2025-08-15 04:10:00
"ТОО ""Жемчужная Фрезия""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Жемчужная Фрезия"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-08-15 20:35:00
"ТОО ""Цветочный Бриз""",other,Прочее,"Тип наблюдения: Предложение (инициатива) | Категория: Прочее | Организация: ТОО ""Цветочный Бриз"" | Последствия или преимущества: Замечаний нет | Меры: Доложил руководству | Остановка работ: False | Поощрение хорошей практики: Доложил руководству | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Руководству | Опасность устранена: False",0,2025-08-16 03:54:00
"ТОО ""Небесная Камелия""",good_practice,Прочее,"Тип наблюдения: Хорошая практика | Категория: Прочее | Организация: ТОО ""Небесная Камелия"" | Последствия или преимущества: Замечаний нет | Меры: Доложил руководству | Остановка работ: False | Поощрение хорошей практики: Доложил руководству | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Руководству | Опасность устранена: False",0,2025-08-16 04:01:00
"ТОО ""Цветочный Бриз""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Целостность объекта / Оборудования, Наряд-допуск / Оценка риска | Организация: ТОО ""Цветочный Бриз"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-08-28 15:03:00
"ТОО ""Белая Роза""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Целостность объекта / Оборудования, Наряд-допуск / Оценка риска | Организация: ТОО ""Белая Роза"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-09-03 19:33:00
"ТОО ""Алый Тюльпан""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Целостность объекта / Оборудования, Наряд-допуск / Оценка риска | Организация: ТОО ""Алый Тюльпан"" | Последствия или преимущества: Провел наблюдение. Предложении нету | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-10-02 19:46:00
"ТОО ""Сафлоровый Рассвет""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Сафлоровый Рассвет"" | Последствия или преимущества: Нет | Меры: Нет | Остановка работ: False | Поощрение хорошей практики: Нет | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет | Опасность устранена: False",0,2025-10-06 00:00:00
"ТОО ""Алый Тюльпан""",good_practice,Прочее,"Тип наблюдения: Хорошая практика | Категория: Прочее | Организация: ТОО ""Алый Тюльпан"" | Последствия или преимущества: Замечаний нет | Меры: Доложил руководству | Остановка работ: False | Поощрение хорошей практики: Доложил руководству | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Руководству | Опасность устранена: False",0,2025-10-08 12:57:00
"ТОО ""Көктем Гүлі""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Көктем Гүлі"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-11-11 15:22:00
"ТОО ""Синяя Орхидея""",unsafe_condition,Рабочее место / Эргономика,"Тип наблюдения: Небезопасное условие | Категория: Рабочее место / Эргономика | Организация: ТОО ""Синяя Орхидея"" | Последствия или преимущества: нужен шлагбаум | Меры: сообщил начальнику | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: начальнику | Опасность устранена: False",0,2025-11-21 22:03:00
"ТОО ""Весенний Крокус""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Весенний Крокус"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-12-10 17:58:00
"ТОО ""Жемчужная Фрезия""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Жемчужная Фрезия"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-12-10 17:58:00
"ТОО ""Көктем Гүлі""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Көктем Гүлі"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-12-10 17:58:00
"ТОО ""Лазурный Дельфиниум""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Лазурный Дельфиниум"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-12-10 17:58:00
"ТОО ""Медовая Астра""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Медовая Астра"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-12-10 17:58:00
"ТОО ""Огненная Георгина""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Огненная Георгина"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-12-10 17:58:00
"ТОО ""Розовый Флокс""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Розовый Флокс"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-12-10 17:58:00
"ТОО ""Сафлоровый Рассвет""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Сафлоровый Рассвет"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-12-10 17:58:00
"ТОО ""Синяя Орхидея""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Целостность объекта / Оборудования, Наряд-допуск / Оценка риска | Организация: ТОО ""Синяя Орхидея"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-12-19 22:20:00
"ТОО ""Цветочный Бриз""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Целостность объекта / Оборудования, Наряд-допуск / Оценка риска | Организация: ТОО ""Цветочный Бриз"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-12-22 19:09:00
"ТОО ""Синяя Орхидея""",unsafe_condition,Рабочее место / Эргономика,"Тип наблюдения: Небезопасное условие | Категория: Рабочее место / Эргономика | Организация: ТОО ""Синяя Орхидея"" | Последствия или преимущества: нужен шлагбаум | Меры: сообщил начальнику | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: начальнику | Опасность устранена: False",0,2026-01-26 19:36:00
"ТОО ""Синяя Орхидея""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Целостность объекта / Оборудования, Наряд-допуск / Оценка риска | Организация: ТОО ""Синяя Орхидея"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2026-01-28 17:36:00
"ТОО ""Полевая Незабудка""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Полевая Незабудка"" | Последствия или преимущества: Провел наблюдение, предложение нет. | Меры: Нет | Остановка работ: False | Поощрение хорошей практики: Предложение нет. | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Опасного случай не было. | Опасность устранена: False",0,2026-02-03 21:02:00
"ТОО ""Белая Роза""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Целостность объекта / Оборудования, Наряд-допуск / Оценка риска | Организация: ТОО ""Белая Роза"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2026-02-05 19:20:00
"ТОО ""Алый Тюльпан""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Целостность объекта / Оборудования, Наряд-допуск / Оценка риска | Организация: ТОО ""Алый Тюльпан"" | Последствия или преимущества: Провел наблюдение. Предложении нету | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2026-02-20 21:43:00
